Time	X	Y	Arm
76.3	-26.2787	-0.353698	1
76.4	-26.6071	0.0500838	1
76.5	-27.5139	-0.0492563	1
76.6	-27.6639	-0.206446	1
76.7	-27.2353	-0.300598	1
76.8	-27.2031	-0.293034	1
76.9	-26.6478	-0.341431	1
77	-25.8266	-0.661596	1
77.1	-24.4195	-1.43798	1
77.2	-24.4195	-1.43798	1
77.3	-23.5038	-1.98956	1
77.4	-23.6223	-2.08243	1
77.5	-23.0826	-2.59552	1
77.6	-21.8914	-2.6284	1
77.7	-21.6834	-2.34157	1
77.8	-21.6021	-1.41363	1
77.9	-21.1953	-1.02604	1
78	-20.353	-0.555329	1
78.1	-19.7383	-0.455876	1
78.2	-18.719	-0.376723	1
78.3	-17.008	-0.203937	1
78.4	-16.4917	0.119242	1
78.5	-15.1912	0.689776	1
78.6	-14.466	0.782756	1
78.7	-12.228	1.01484	1
78.8	-9.69172	1.05848	1
78.9	-8.95882	1.05874	1
79	-7.68314	1.1812	1
79.1	-7.4511	1.38978	1
79.2	-6.52698	2.20038	1
79.3	-5.96989	2.67561	1
79.4	-5.34069	2.99679	1
79.5	-3.15874	4.47534	0
79.6	-2.16143	5.23226	-1
79.7	-0.491037	7.04534	-1
79.8	-0.581828	8.2526	-1
79.9	-0.0978561	11.0532	-1
80	-0.142777	12.57	-1
80.1	0.0808989	14.8727	-1
80.2	0.129597	17.5576	-1
80.3	0.0173006	19.4862	-1
80.4	0.239284	24.015	-1
80.5	0.365246	25.5883	-1
80.6	0.745586	29.4623	-1
80.7	0.741621	32.0911	-1
80.8	-0.0395672	37.3872	-1
80.9	-0.427461	39.2114	-1
81	-0.330724	43.7021	-1
81.1	0.192791	45.6896	-1
81.2	0.298624	47.8727	-1
81.3	0.00619048	48.4446	-1
81.4	0.0173858	49.6368	-1
81.5	0.61471	49.9293	-1
81.6	 	 	-1
81.7	 	 	-1
81.8	0.848177	49.2729	-1
81.9	0.915938	48.0992	-1
82	0.761957	48.1014	-1
82.1	0.865712	48.142	-1
82.2	1.03583	48.0873	-1
82.3	0.84268	48.6837	-1
82.4	0.657196	49.2041	-1
82.5	0.502399	49.5215	-1
82.6	 	 	-1
82.7	 	 	-1
82.8	 	 	-1
82.9	 	 	-1
83	 	 	-1
83.1	 	 	-1
83.2	 	 	-1
83.3	 	 	-1
83.4	 	 	-1
83.5	 	 	-1
83.6	 	 	-1
83.7	 	 	-1
83.8	 	 	-1
83.9	0.259763	49.3092	-1
84	-0.18841	47.8969	-1
84.1	-0.222101	47.9065	-1
84.2	1.04436	47.7293	-1
84.3	1.57264	47.6527	-1
84.4	1.52484	47.8162	-1
84.5	1.51801	47.972	-1
84.6	1.24963	48.5961	-1
84.7	0.938444	48.8899	-1
84.8	0.0110651	47.8645	-1
84.9	-0.340305	47.5297	-1
85	-0.701453	47.086	-1
85.1	-0.984679	46.4087	-1
85.2	-1.04665	45.7347	-1
85.3	-0.83909	45.6865	-1
85.4	-0.669839	43.1944	-1
