Index	RecordTime	VideoTime	MI
824	82.4	220.1	7.59556
825	82.5	220.2	8.21401
826	82.6	220.3	7.6071
827	82.7	220.4	6.69506
828	82.8	220.5	8.09016
829	82.9	220.6	7.85145
830	83	220.7	7.4018
831	83.1	220.8	8.56705
832	83.2	220.9	6.53335
833	83.3	221	7.84869
834	83.4	221.1	4.90709
835	83.5	221.2	7.80275
836	83.6	221.3	5.76782
837	83.7	221.4	5.59676
838	83.8	221.5	6.16424
839	83.9	221.6	5.21625
840	84	221.7	6.82057
841	84.1	221.8	6.02976
842	84.2	221.9	4.71945
843	84.3	222	5.44782
844	84.4	222.1	6.15875
845	84.5	222.2	5.10493
846	84.6	222.3	5.9671
847	84.7	222.4	6.7411
848	84.8	222.5	5.0792
849	84.9	222.6	6.22125
850	85	222.7	5.26558
851	85.1	222.8	5.69749
852	85.2	222.9	6.59519
853	85.3	223	6.15739
854	85.4	223.1	7.3016
855	85.5	223.2	7.86019
856	85.6	223.3	6.51316
857	85.7	223.4	7.54953
858	85.8	223.5	5.9488
859	85.9	223.6	7.74046
860	86	223.7	6.03833
861	86.1	223.8	6.79081
862	86.2	223.9	7.51036
863	86.3	224	5.99501
864	86.4	224.1	7.09213
865	86.5	224.2	8.23278
866	86.6	224.3	6.25704
867	86.7	224.4	7.42218
868	86.8	224.5	4.99406
869	86.9	224.6	4.94599
870	87	224.7	6.51707
871	87.1	224.8	6.24033
872	87.2	224.9	5.24729
873	87.3	225	5.20168
874	87.4	225.1	6.29115
875	87.5	225.2	6.53665
876	87.6	225.3	5.19717
877	87.7	225.4	4.8561
878	87.8	225.5	4.83522
879	87.9	225.6	5.88841
880	88	225.7	4.95196
881	88.1	225.8	6.05096
882	88.2	225.9	4.9602
883	88.3	226	4.81697
884	88.4	226.1	5.76455
885	88.5	226.2	5.29383
886	88.6	226.3	4.18634
887	88.7	226.4	4.79879
888	88.8	226.5	5.41285
889	88.9	226.6	5.04045
890	89	226.7	4.87534
891	89.1	226.8	5.42177
892	89.2	226.9	4.50111
893	89.3	227	5.73766
894	89.4	227.1	5.07417
895	89.5	227.2	6.13043
896	89.6	227.3	5.25477
897	89.7	227.4	5.2932
898	89.8	227.5	4.94801
899	89.9	227.6	5.44009
900	90	227.7	5.20246
901	90.1	227.8	6.27546
902	90.2	227.9	4.94455
903	90.3	228	6.45268
904	90.4	228.1	5.17653
