Time	X	Y
94.3	1.6875	31.2973
94.4	1.6875	31.3784
94.5	1.6875	31.7027
94.6	1.6875	31.7027
94.7	1.6875	31.7027
94.8	1.36607	31.8649
94.9	1.36607	31.9459
95	1.28571	32.1081
95.1	1.20536	32.1892
95.2	1.20536	32.1081
95.3	1.125	32.027
95.4	1.125	32.027
95.5	1.76786	32.027
95.6	1.76786	32.027
95.7	2.41071	32.5135
95.8	2.65179	32.6757
95.9	3.13393	33.1622
96	3.45536	33.3243
96.1	4.25893	33.4865
96.2	4.25893	33.4865
96.3	4.25893	33.5676
96.4	4.74107	33.7297
96.5	5.46429	33.8108
96.6	6.34821	33.8108
96.7	6.34821	33.8108
96.8	6.42857	33.7297
96.9	6.66964	33.8108
97	6.75	33.8108
97.1	6.83036	33.8108
97.2	6.91071	33.8108
97.3	7.15179	33.8108
97.4	7.47321	33.7297
97.5	8.19643	33.6486
97.6	9	33.6486
97.7	9	33.6486
97.8	9.80357	33.5676
97.9	9.80357	33.5676
98	10.5268	33.7297
98.1	10.9286	33.8108
98.2	10.6875	33.8919
98.3	10.3661	33.8919
98.4	10.3661	33.8919
98.5	9.40179	33.973
98.6	9.40179	33.973
98.7	8.91964	33.8108
98.8	8.91964	33.8919
98.9	9	33.8919
99	9	33.973
99.1	9.08036	34.0541
99.2	9.08036	34.0541
99.3	10.2857	34.0541
99.4	10.2857	34.0541
99.5	11.25	33.973
99.6	11.1696	33.973
99.7	11.0089	33.973
99.8	10.8482	33.973
99.9	10.8482	33.973
100	10.3661	33.8108
100.1	10.3661	33.8108
100.2	10.2857	33.4865
100.3	10.0446	33.2432
100.4	9.5625	33.0811
100.5	9.24107	33
100.6	9.16071	33
100.7	9.16071	32.8378
100.8	9.24107	32.6757
100.9	9.24107	32.6757
101	9.24107	32.4324
101.1	8.75893	32.1892
101.2	8.4375	32.1081
101.3	7.875	32.2703
101.4	7.39286	32.5135
101.5	7.39286	32.5135
101.6	6.75	32.3514
101.7	5.94643	32.3514
101.8	5.38393	32.3514
101.9	5.14286	32.3514
102	5.14286	32.3514
102.1	4.90179	32.6757
102.2	4.90179	32.6757
102.3	4.98214	32.7568
102.4	4.98214	32.9189
102.5	5.0625	33
102.6	4.98214	33.1622
102.7	4.98214	33.1622
102.8	4.66071	33.4054
102.9	4.5	33.2432
103	4.5	33.1622
103.1	4.5	33.1622
103.2	4.5	33.1622
103.3	4.58036	33
103.4	4.58036	33
103.5	4.66071	33
103.6	4.58036	33.1622
103.7	4.58036	33.1622
103.8	4.33929	33.1622
103.9	4.33929	33.1622
104	4.25893	33
104.1	4.25893	33
104.2	4.25893	32.8378
104.3	4.5	32.6757
